name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Corfu Greece,2021-01-01,17,5,10.1,17,5,10,7.1,83.7,5.992,100,8.33,rain,0,0,25.6,13,125.5,1016,50.3,10,89.7,7.8,4,,2021-01-01T08:01:14,2021-01-01T17:26:59,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LGKR,LGIO,13625099999,16642099999,9V3932,16641099999"
Corfu Greece,2021-01-02,18,-1,11.6,18,-1,11.3,6.5,73.6,0,0,0,,0,0,59.4,37.1,132,1016.4,50,10,76.1,6.6,4,,2021-01-02T08:01:21,2021-01-02T17:27:49,0.62,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"LGKR,LGIO,13625099999,16642099999,9V3932,16641099999"
Corfu Greece,2021-01-03,19,8,14,19,6,13.8,11,83.2,15.002,100,16.67,rain,0,0,46.4,25.9,148.3,1015.4,60,9.9,87.8,7.6,4,,2021-01-03T08:01:25,2021-01-03T17:28:41,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LGKR,LGIO,13625099999,16642099999,16641099999"
Corfu Greece,2021-01-04,13,6,10.3,13,4.4,9.9,8.7,90.2,17.034,100,16.67,rain,0,0,61.9,27.7,281.5,1010.4,89.3,8.9,62.5,5.3,3,,2021-01-04T08:01:27,2021-01-04T17:29:34,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LGKR,LGIO,13625099999,16642099999,16641099999"
Corfu Greece,2021-01-05,14,5,9.6,14,5,9.6,7.7,88.2,11.283,100,16.67,rain,0,0,36,20.5,156,1015.2,69.4,10,78.2,6.7,3,,2021-01-05T08:01:26,2021-01-05T17:30:29,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LGKR,LGIO,13625099999,16642099999,16641099999"
Corfu Greece,2021-01-06,16,7,13.3,16,5.6,13.2,8.6,74.3,6.326,100,16.67,rain,0,0,42.8,25.9,179,1017.9,84.1,10,68.7,6,4,,2021-01-06T08:01:24,2021-01-06T17:31:25,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LGKR,LGIO,13625099999,16642099999,9V3932,16641099999"
Corfu Greece,2021-01-07,16,13,15.3,16,13,15.3,12.5,84,10.038,100,16.67,rain,0,0,47.5,27.7,184.6,1015.8,94.8,8.9,26.9,2.1,1,,2021-01-07T08:01:19,2021-01-07T17:32:22,0.79,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LGKR,13625099999,LGIO,16642099999,remote,16641099999"
Corfu Greece,2021-01-08,18,11,16,18,11,16,13.7,86.5,2.06,100,12.5,rain,0,0,49.3,35.3,160.6,1011,90.5,7.9,76.7,6.6,4,,2021-01-08T08:01:12,2021-01-08T17:33:20,0.83,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LGKR,LGIO,13625099999,16642099999,9V3932,16641099999"
Corfu Greece,2021-01-09,17,12,15,17,12,15,12.7,86.5,2.005,100,8.33,rain,0,0,39.6,18.4,203.3,1011.1,76.1,9.9,89.7,7.8,4,,2021-01-09T08:01:03,2021-01-09T17:34:20,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LGKR,LGIO,13625099999,16642099999,remote,16641099999"
Corfu Greece,2021-01-10,21,15,17.5,21,15,17.5,14.4,82.6,5.999,100,8.33,rain,0,0,53.6,29.5,129.6,1012,91.4,9.8,86.1,7.5,4,,2021-01-10T08:00:52,2021-01-10T17:35:20,0.9,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"LGKR,13625099999,LGIO,16642099999,remote,16641099999"
