name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
karpenisi greece,2021-01-01,9.6,1,4.8,8.2,0.3,3.4,1.9,82.8,0.6,100,20.83,rain,0,0,50,10.1,228.9,1017.9,63.3,,75,6.4,3,,2021-01-01T07:51:38,2021-01-01T17:21:29,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,remote
karpenisi greece,2021-01-02,9.3,-3.1,3.6,8.9,-3.1,3.4,0.8,83.3,2,100,25,rain,0,0,24.5,6.1,88.9,1020,85.7,,98,8.5,5,,2021-01-02T07:51:45,2021-01-02T17:22:18,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,remote
karpenisi greece,2021-01-03,11.5,5.5,7.9,11.5,5.4,7.3,6.8,92.9,12.1,100,83.33,rain,0,0,73.8,9.7,194.7,1018.2,94.1,,59.9,5.1,4,,2021-01-03T07:51:50,2021-01-03T17:23:09,0.65,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
karpenisi greece,2021-01-04,8,4.6,5.9,8,2,5.1,4.9,93.7,27.7,100,87.5,rain,0,0,67,11.2,192.4,1012.2,98.8,,14.6,1.2,1,,2021-01-04T07:51:52,2021-01-04T17:24:02,0.69,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
karpenisi greece,2021-01-05,16.4,2.1,5.6,16.4,-1,3.6,3,84.8,3.7,100,62.5,rain,0,0,47.5,11.9,225.4,1017.2,87.3,,80.3,6.9,4,,2021-01-05T07:51:53,2021-01-05T17:24:56,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,16675099999"
karpenisi greece,2021-01-06,16.1,3.2,6.9,16.1,2.1,5.6,4.7,86.6,5,100,79.17,rain,0,0,56.2,13.7,207.3,1020.5,92.9,,57.8,5,3,,2021-01-06T07:51:51,2021-01-06T17:25:51,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"remote,16675099999"
karpenisi greece,2021-01-07,14.7,5.4,9.1,14.7,3.6,7.7,6.7,85.8,8.7,100,100,rain,0,0,67,16.2,221.5,1017.6,94.6,,62,5.3,4,,2021-01-07T07:51:48,2021-01-07T17:26:47,0.79,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"remote,16675099999"
karpenisi greece,2021-01-08,19.7,8.2,12.4,19.7,6.1,12,8.8,80.2,6.7,100,100,rain,0,0,81.4,16.2,213.5,1012.6,99,,46.4,4.1,2,,2021-01-08T07:51:42,2021-01-08T17:27:45,0.83,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"remote,16675099999"
karpenisi greece,2021-01-09,21.2,9.8,13.6,21.2,8.6,13.5,10.7,83.3,10.4,100,62.5,rain,0,0,77,16.6,220.1,1011.6,89.5,,70.7,6,3,,2021-01-09T07:51:34,2021-01-09T17:28:43,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,16675099999"
karpenisi greece,2021-01-10,17.7,10.4,13.7,17.7,10.4,13.7,10.3,81.1,2.8,100,29.17,rain,0,0,83.2,13.3,210.4,1015,96.1,,101.2,8.7,4,,2021-01-10T07:51:23,2021-01-10T17:29:43,0.9,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"remote,16675099999"
karpenisi greece,2021-01-11,23.2,11.3,14.1,23.2,11.3,14.1,10.5,80.3,15,100,75,rain,0,0,87.8,18.4,215.2,1013.1,99.2,,22.1,1.9,1,,2021-01-11T07:51:11,2021-01-11T17:30:43,0.94,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"remote,16675099999"
karpenisi greece,2021-01-12,17.9,4.9,11.4,17.9,3,10.9,7.9,81,31.6,100,75,rain,0,0,78.8,25.9,247.3,1007.8,70,,59.6,5,3,,2021-01-12T07:50:56,2021-01-12T17:31:45,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,16675099999"
karpenisi greece,2021-01-13,14.2,1.1,6.3,14.2,-0.8,4.8,1.5,74.1,0.6,100,20.83,rain,0,0,49,27.7,265.1,1009.2,78.6,,80.2,6.9,4,,2021-01-13T07:50:40,2021-01-13T17:32:47,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,16675099999"
karpenisi greece,2021-01-14,12.7,-0.3,4.5,12.7,-1.3,2.6,-0.7,71.7,5.5,100,50,"rain,snow",0,0.7,67,22.3,248.2,1011.3,63.2,,123.9,10.6,5,,2021-01-14T07:50:21,2021-01-14T17:33:50,0.04,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"remote,16675099999"
karpenisi greece,2021-01-15,7.7,-2.1,2.5,7.6,-5.6,0,-1.2,77.8,6.8,100,37.5,"rain,snow",0.1,1.5,64.8,29.5,9.7,1013.9,89.9,,87.9,7.4,4,,2021-01-15T07:50:00,2021-01-15T17:34:54,0.07,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"remote,16675099999"
karpenisi greece,2021-01-16,5.7,-4.9,0.2,5.7,-7.9,-2.1,-2.2,85.4,18.9,100,87.5,"rain,snow",7.1,10.9,40.3,10.4,43.7,1013.6,87.9,,47.4,4.1,2,,2021-01-16T07:49:38,2021-01-16T17:35:59,0.1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"remote,16675099999"
karpenisi greece,2021-01-17,5.7,-11.5,-4.1,5.7,-15.5,-5.6,-10.1,63.8,0,0,0,,0,7.2,31,8.3,30.1,1017,44.8,,133.1,11.5,5,,2021-01-17T07:49:13,2021-01-17T17:37:04,0.13,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,16675099999"
karpenisi greece,2021-01-18,4.6,-8.3,-2.7,0.7,-12,-5.7,-6.7,74.2,0,0,0,,0,4.6,46.4,22.3,12.1,1021,84.7,,110.5,9.6,5,,2021-01-18T07:48:46,2021-01-18T17:38:10,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,16675099999"
karpenisi greece,2021-01-19,7.6,-5,-0.8,5.6,-5.8,-2,-7.8,62.6,0,0,0,,0,2.8,38.9,22.3,339.4,1025.7,12.5,,133.9,11.6,5,,2021-01-19T07:48:17,2021-01-19T17:39:17,0.2,Clear,Clear conditions throughout the day.,clear-day,"remote,16675099999"
karpenisi greece,2021-01-20,11.2,-6,0.7,11.2,-9.8,-1.5,-4.9,68.4,0,0,0,,0,2.3,51.8,13.3,238.4,1028.4,22.7,,127,11.2,5,,2021-01-20T07:47:46,2021-01-20T17:40:24,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,16675099999"
karpenisi greece,2021-01-21,14.9,-0.1,5.4,14.9,-1.9,4,2.6,83.9,3.5,100,87.5,"rain,snow",0,1.5,50.8,13.7,218.4,1027.2,92.8,,75.4,6.5,4,,2021-01-21T07:47:13,2021-01-21T17:41:32,0.26,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"remote,16675099999"
karpenisi greece,2021-01-22,15.9,5.2,7.5,15.9,3.3,6.2,5.6,88.2,5.6,100,95.83,rain,0,0.5,55.8,11.9,214.8,1023.4,97,,48.9,4.2,2,,2021-01-22T07:46:38,2021-01-22T17:42:40,0.3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"remote,16675099999"
karpenisi greece,2021-01-23,14.4,5.2,7.4,14.4,2.5,5.6,5.2,86.5,21.6,100,100,rain,0,0.3,85,17.3,210.1,1014.8,99.8,,34.2,3,2,,2021-01-23T07:46:01,2021-01-23T17:43:48,0.33,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"remote,16675099999"
karpenisi greece,2021-01-24,15.1,3.3,7.5,15.1,0.1,5.5,4.8,83.9,16.4,100,87.5,rain,0,0.2,86,20.5,223.7,1010.4,91.3,,55.5,4.9,3,,2021-01-24T07:45:22,2021-01-24T17:44:57,0.36,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"remote,16675099999"
