name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"kavala, greece",2021-01-01,15,3.7,9.1,15,3.5,8.5,4.6,75.4,0,0,0,,0,0,23,16.6,259.5,1015,13.6,10,94,8.1,4,,2021-01-01T07:47:12,2021-01-01T17:04:58,0.58,Clear,Clear conditions throughout the day.,clear-day,"16606099999,16624099999,LGKV,remote"
"kavala, greece",2021-01-02,13,0.6,7.6,13,-0.2,6.6,4.7,82.1,0.5,100,8.33,rain,0,0,20.2,14.8,53.8,1021.3,47.4,10,86.4,7.4,4,,2021-01-02T07:47:17,2021-01-02T17:05:49,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16606099999,16624099999,LGKV,remote"
"kavala, greece",2021-01-03,18,7.9,12.5,18,7.9,12.4,10.8,89.9,3.487,100,12.5,rain,0,0,40,16.2,60.7,1018.5,70.8,9.8,61.6,5.3,3,,2021-01-03T07:47:20,2021-01-03T17:06:42,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16606099999,16624099999,LGKV,remote"
"kavala, greece",2021-01-04,15.1,9.7,12.5,15.1,9.7,12.5,10.6,88.3,11.304,100,8.33,rain,0,0,69.1,29.5,80.5,1012.4,90.4,9.4,17.5,1.7,1,,2021-01-04T07:47:20,2021-01-04T17:07:37,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"16606099999,16624099999,LGKV,remote"
"kavala, greece",2021-01-05,15,4.1,10.9,15,4.1,10.5,7.2,79.2,7.393,100,8.33,rain,0,0,31.7,19.9,241.9,1012.6,24.6,10,94,8.1,4,,2021-01-05T07:47:18,2021-01-05T17:08:33,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16606099999,16624099999,LGKV,remote"
"kavala, greece",2021-01-06,15,2.7,9.1,15,2.7,8.7,5.8,81.1,0,0,0,,0,0,16.2,9.4,59.9,1019.3,41.6,10,82.4,7,4,,2021-01-06T07:47:14,2021-01-06T17:09:31,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16606099999,16624099999,LGKV,remote"
"kavala, greece",2021-01-07,15,8,11.9,15,6.8,11.8,8.8,81.8,0.3,100,12.5,rain,0,0,21.6,15.8,283.2,1015.5,75.3,10,76.9,6.4,3,,2021-01-07T07:47:08,2021-01-07T17:10:29,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16606099999,16624099999,LGKV,remote"
"kavala, greece",2021-01-08,18,9.4,13.8,18,9.4,13.8,11.2,85.1,0.389,100,8.33,rain,0,0,22,14.8,222.7,1010.9,78.9,10,80.5,6.9,4,,2021-01-08T07:47:00,2021-01-08T17:11:30,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16606099999,16624099999,LGKV,remote"
"kavala, greece",2021-01-09,16,8,12.1,16,5.5,11.5,9.9,86.8,0.194,100,8.33,rain,0,0,37.4,23.5,89.5,1011.6,94,9.2,22.8,2.1,1,,2021-01-09T07:46:49,2021-01-09T17:12:31,0.87,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"16606099999,16624099999,LGKV,remote"
"kavala, greece",2021-01-10,9.8,7.7,8.5,9.2,5.3,6.8,6.9,89.7,5.491,100,8.33,rain,0,0.1,37.1,18.4,68.2,1017,100,10,15,1.4,1,,2021-01-10T07:46:36,2021-01-10T17:13:33,0.9,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"16606099999,16624099999,LGKV,remote"
