name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Thesalloniki,2021-01-01,15,4.9,8.7,15,1.8,7.3,3.4,71.1,0.193,100,4.17,rain,0,0,16.9,14.3,103.4,1015.6,15.7,10,101.3,8.5,5,,2021-01-01T07:52:11,2021-01-01T17:11:47,0.58,Rain,Clear conditions throughout the day with morning rain.,rain,"16606099999,16622099999,F4421,LGTS"
Thesalloniki,2021-01-02,12,2.9,7.6,12,0.9,7.1,4.4,81,0,0,0,,0,0,22.3,11.2,85.3,1020.4,45.1,9.9,72.5,6.2,4,,2021-01-02T07:52:17,2021-01-02T17:12:39,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16606099999,16622099999,F4421,LGTS"
Thesalloniki,2021-01-03,15,10,11.8,15,10,11.8,10.8,93.8,10.787,100,8.33,rain,0,0,32.4,16.6,191.8,1017.6,78.3,7.4,84.7,7.3,5,,2021-01-03T07:52:20,2021-01-03T17:13:31,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16606099999,16622099999,F4421,LGTS"
Thesalloniki,2021-01-04,14,8,11.4,14,7.9,11.3,10.6,94.8,29.583,100,12.5,rain,0,0,53.6,25.9,100.6,1011,71.3,8.8,11,0.9,1,,2021-01-04T07:52:21,2021-01-04T17:14:26,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"E3486,16606099999,16622099999,F4421,LGTS,13597099999"
Thesalloniki,2021-01-05,15,5,9,15,2.5,7.9,4.6,77.2,0.479,100,8.33,rain,0,0,26.6,11.2,111.8,1013.6,26.5,10,101.4,8.7,5,,2021-01-05T07:52:19,2021-01-05T17:15:21,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16606099999,16618199999,16622099999,F4421,LGTS,13597099999,remote"
Thesalloniki,2021-01-06,17,8,11.2,17,6.4,10.7,7.1,76.3,0,0,0,,0,0,25.6,18.4,118.6,1018.4,41.2,10,56.8,4.9,3,,2021-01-06T07:52:16,2021-01-06T17:16:18,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16606099999,16618199999,16622099999,F4421,LGTS,13597099999"
Thesalloniki,2021-01-07,16,10,12.9,16,10,12.9,8.7,76.8,0.022,100,8.33,rain,0,0,34.6,18.4,123.2,1015.2,31.5,10,25.4,2.1,1,,2021-01-07T07:52:10,2021-01-07T17:17:17,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16606099999,16618199999,16622099999,F4421,LGTS,13597099999"
Thesalloniki,2021-01-08,19,10,15.8,19,10,15.8,10.1,71.2,0.051,100,12.5,rain,0,0,41.4,35.3,156.7,1009.6,52.2,10,65,5.6,5,,2021-01-08T07:52:02,2021-01-08T17:18:17,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E3486,16606099999,16618199999,16622099999,F4421,LGTS,13597099999"
Thesalloniki,2021-01-09,18,10.9,13.6,18,10.9,13.6,9.4,76.2,0.493,100,8.33,rain,0,0,30.6,29.3,330.5,1010.6,49.2,9.7,77,6.6,5,,2021-01-09T07:51:51,2021-01-09T17:19:18,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16606099999,16618199999,16622099999,F4421,LGTS,remote"
Thesalloniki,2021-01-10,11,9,10.3,11,7.6,9.9,10.1,98.4,8.507,100,12.5,rain,0,0,38.2,17.8,259.5,1015.6,95,4.2,19.8,1.6,1,,2021-01-10T07:51:39,2021-01-10T17:20:20,0.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"16606099999,16618199999,16622099999,F4421,LGTS,AS453"
