Date,Actual Temperature,Forecasted Temperature (MSE)
2021-02-01,16.5,16.684421955457097
2021-02-02,18.3,18.13844219554571
2021-02-03,18.2,18.19384421955457
2021-02-04,19.5,19.36938442195546
2021-02-05,19.7,19.666938442195544
2021-02-06,20.3,20.236693844219552
2021-02-07,19.5,19.573669384421954
2021-02-08,19.1,19.147366938442197
2021-02-09,19.5,19.46473669384422
2021-02-10,18.4,18.50647366938442
2021-02-11,19.0,18.950647366938444
2021-02-12,17.9,18.005064736693843
2021-02-13,10.4,11.160506473669384
2021-02-14,8.1,8.40605064736694
2021-02-15,3.0,3.540605064736694
2021-02-16,2.4,2.5140605064736694
2021-02-17,7.4,6.911406050647367
2021-02-18,13.0,12.391140605064738
2021-02-19,15.0,14.739114060506473
2021-02-20,15.0,14.973911406050647
2021-02-21,12.0,12.297391140605065
2021-02-22,15.3,14.999739114060507
2021-02-23,18.4,18.05997391140605
2021-02-24,20.0,19.805997391140604
2021-02-25,16.5,16.83059973911406
2021-02-26,17.9,17.793059973911404
2021-02-27,19.0,18.879305997391143
2021-02-28,14.8,15.207930599739115
2021-03-01,14.8,14.840793059973912
2021-03-02,12.2,12.464079305997391
2021-03-03,16.0,15.64640793059974
2021-03-04,17.7,17.494640793059972
2021-03-05,19.9,19.659464079305998
2021-03-06,19.2,19.2459464079306
2021-03-07,12.9,13.53459464079306
2021-03-08,16.0,15.753459464079306
2021-03-09,16.9,16.78534594640793
2021-03-10,19.5,19.22853459464079
2021-03-11,15.0,15.42285345946408
2021-03-12,14.4,14.502285345946408
2021-03-13,17.9,17.56022853459464
2021-03-14,17.0,17.056022853459464
2021-03-15,17.5,17.455602285345947
2021-03-16,16.0,16.145560228534595
2021-03-17,16.0,16.01455602285346
2021-03-18,15.8,15.821455602285345
2021-03-19,17.3,17.152145560228533
2021-03-20,16.1,16.205214556022856
2021-03-21,16.2,16.200521455602285
2021-03-22,19.9,19.530052145560227
2021-03-23,12.8,13.473005214556023
2021-03-24,12.4,12.507300521455601
2021-03-25,9.2,9.53073005214556
2021-03-26,13.8,13.373073005214557
2021-03-27,16.4,16.097307300521454
2021-03-28,19.0,18.709730730052147
2021-03-29,20.9,20.680973073005212
2021-03-30,17.0,17.368097307300523
2021-03-31,11.6,12.176809730730051
2021-04-01,13.0,12.917680973073006
2021-04-02,19.8,19.1117680973073
2021-04-03,22.0,21.71117680973073
2021-04-04,21.8,21.791117680973073
2021-04-05,19.0,19.27911176809731
2021-04-06,20.7,20.55791117680973
2021-04-07,22.5,22.305791117680972
2021-04-08,17.6,18.070579111768097
2021-04-09,12.9,13.41705791117681
2021-04-10,15.6,15.38170579111768
2021-04-11,17.5,17.288170579111767
2021-04-12,19.7,19.458817057911176
2021-04-13,21.2,21.025881705791114
2021-04-14,21.2,21.18258817057911
2021-04-15,19.7,19.84825881705791
2021-04-16,18.3,18.454825881705794
2021-04-17,20.3,20.11548258817058
2021-04-18,18.4,18.571548258817057
2021-04-19,22.0,21.657154825881705
2021-04-20,20.9,20.975715482588168
2021-04-21,21.0,20.99757154825882
2021-04-22,22.3,22.16975715482588
2021-04-23,23.5,23.36697571548259
2021-04-24,16.7,17.366697571548258
2021-04-25,17.4,17.396669757154825
2021-04-26,20.9,20.549666975715482
2021-04-27,21.9,21.76496669757155
2021-04-28,24.7,24.406496669757153
2021-04-29,24.1,24.130649666975717
2021-04-30,26.9,26.623064966697573
2021-05-01,28.7,28.492306496669755
2021-05-02,27.6,27.689230649666978
2021-05-03,31.4,31.028923064966694
2021-05-04,27.1,27.49289230649667
2021-05-05,26.6,26.689289230649667
2021-05-06,26.9,26.87892892306497
2021-05-07,27.5,27.437892892306497
2021-05-08,28.7,28.573789289230646
2021-05-09,23.3,23.827378928923068
2021-05-10,23.3,23.352737892892307
2021-05-11,25.4,25.19527378928923
