Date,Actual Temperature,Forecasted Temperature (MSE)
2021-01-01,17.4,20.445805494752257
2021-01-02,16.4,16.454837544759304
2021-01-03,18.4,18.03080537073167
2021-01-04,17.5,17.33062966996306
2021-01-05,16.0,15.790855429589522
2021-01-06,16.8,16.447701016889113
2021-01-07,16.9,16.644092484099048
2021-01-08,18.7,18.468763307251127
2021-01-09,21.5,21.44404169191374
2021-01-10,21.2,21.44960577810776
2021-01-11,22.5,22.714697666697464
2021-01-12,19.5,19.851884065553662
2021-01-13,15.4,15.474933139539454
2021-01-14,12.7,12.35749406437948
2021-01-15,11.0,10.393575691069332
2021-01-16,7.3,6.5887620415420765
2021-01-17,4.6,3.5992920928505634
2021-01-18,5.0,3.7864088096248616
2021-01-19,9.0,7.874343688436054
2021-01-20,12.5,11.849446244357928
2021-01-21,15.4,15.176506337957901
2021-01-22,15.5,15.628326776901691
2021-01-23,15.0,15.166959410874915
2021-01-24,15.5,15.600796327293496
2021-01-25,17.9,18.011108349478935
2021-01-26,16.7,17.05413980024438
2021-01-27,10.6,10.887570363298927
2021-01-28,9.0,8.661032086907479
2021-01-29,14.8,14.210885371446661
2021-01-30,18.8,18.778891016470382
2021-01-31,17.5,17.95059138949042
2021-02-01,16.5,16.83720820173828
2021-02-02,18.3,18.477521144806627
2021-02-03,18.2,18.526575536080863
2021-02-04,19.5,19.78908917696101
2021-02-05,19.7,20.08732251512253
2021-02-06,20.3,20.676286822577655
2021-02-07,19.5,19.909317439291183
2021-02-08,19.1,19.39978193142633
2021-02-09,19.5,19.717848006811472
2021-02-10,18.4,18.64104829373695
2021-02-11,19.0,19.105673975993177
2021-02-12,17.9,18.05362588637941
2021-02-13,10.4,10.50959474764389
2021-02-14,8.1,7.468328106482387
2021-02-15,3.0,2.172051912782822
2021-02-16,2.4,1.1229396212624112
2021-02-17,7.4,6.082963826196753
2021-02-18,13.0,12.24149950233248
2021-02-19,15.0,14.905618114736129
2021-02-20,15.0,15.180524345650243
2021-02-21,12.0,12.221767777633133
2021-02-22,15.3,15.17293302084444
2021-02-23,18.4,18.548485573289568
2021-02-24,20.0,20.456677126938022
2021-02-25,16.5,17.141395340878443
2021-02-26,17.9,18.138141581593427
2021-02-27,19.0,19.30538346332152
2021-02-28,14.8,15.23662313979539
2021-03-01,14.8,14.790451024861193
2021-03-02,12.2,12.172693221130265
2021-03-03,16.0,15.675375050855449
2021-03-04,17.7,17.737859479250975
2021-03-05,19.9,20.11870056895794
2021-03-06,19.2,19.644101626722424
2021-03-07,12.9,13.319672586093855
2021-03-08,16.0,15.71845914928255
2021-03-09,16.9,16.874676482165988
2021-03-10,19.5,19.566577332059396
2021-03-11,15.0,15.374775457163388
2021-03-12,14.4,14.327865478529084
2021-03-13,17.9,17.694666587598032
2021-03-14,17.0,17.15882670562111
2021-03-15,17.5,17.585948313917513
2021-03-16,16.0,16.13592512649458
2021-03-17,16.0,15.978689546367775
2021-03-18,15.8,15.766883929181994
2021-03-19,17.3,17.233683813837036
2021-03-20,16.1,16.19833225905721
2021-03-21,16.2,16.184947200264077
2021-03-22,19.9,19.847963446360996
2021-03-23,12.8,13.189948360798198
2021-03-24,12.4,12.093051499770079
2021-03-25,9.2,8.84298717868796
2021-03-26,13.8,13.104111900497834
2021-03-27,16.4,16.166854301634014
2021-03-28,19.0,19.06811165460057
2021-03-29,20.9,21.233107340983175
2021-03-30,17.0,17.558627248932954
2021-03-31,11.6,11.794902787323961
2021-04-01,13.0,12.58698909030391
2021-04-02,19.8,19.43536870247455
2021-04-03,22.0,22.331023480468904
2021-04-04,21.8,22.392796845026137
2021-04-05,19.0,19.57362246542951
2021-04-06,20.7,20.923079005581187
2021-04-07,22.5,22.819947549094053
2021-04-08,17.6,18.129839124026873
2021-04-09,12.9,12.960142760357739
2021-04-10,15.6,15.110760275558626
2021-04-11,17.5,17.25085360227844
2021-04-12,19.7,19.665286110745363
2021-04-13,21.2,21.39485361162497
2021-04-14,21.2,21.55027353666668
2021-04-15,19.7,20.049290910870855
2021-04-16,18.3,18.4817564663129
2021-04-17,20.3,20.28864493988894
2021-04-18,18.4,18.589355742656537
2021-04-19,22.0,21.96638480609421
2021-04-20,20.9,21.218113079889495
2021-04-21,21.0,21.213655730078973
2021-04-22,22.3,22.48098097939081
2021-04-23,23.5,23.779425216176826
2021-04-24,16.7,17.15212137039951
2021-04-25,17.4,17.14170006248582
2021-04-26,20.9,20.628904926070728
2021-04-27,21.9,21.992023969082855
2021-04-28,24.7,24.892053716166608
2021-04-29,24.1,24.57077185641999
2021-04-30,26.9,27.268274203367532
2021-05-01,28.7,29.286879759759206
2021-05-02,27.6,28.346921137020047
2021-05-03,31.4,31.947702372414323
2021-05-04,27.1,28.001487282436464
2021-05-05,26.6,27.030731918019395
2021-05-06,26.9,27.191890508955943
2021-05-07,27.5,27.775736222243562
2021-05-08,28.7,28.997304533570404
2021-05-09,23.3,23.746703956681756
2021-05-10,23.3,23.181440542891533
2021-05-11,25.4,25.21458455265227
2021-05-12,24.8,24.840586343889637
2021-05-13,27.0,26.97753375206331
2021-05-14,27.3,27.490250455194975
2021-05-15,23.4,23.663399584540592
2021-05-16,25.9,25.7320085348665
2021-05-17,27.1,27.14198866176111
2021-05-18,31.0,31.140207694892073
2021-05-19,28.1,28.65641090566488
2021-05-20,27.3,27.565954245232323
2021-05-21,23.5,23.670972697118156
2021-05-22,25.1,24.85008699956611
2021-05-23,28.1,27.960490599849958
2021-05-24,30.0,30.16508680589184
2021-05-25,32.2,32.548688613965766
2021-05-26,30.7,31.270666819516237
2021-05-27,29.2,29.606504626314823
2021-05-28,28.7,28.908502990626346
2021-05-29,25.7,25.84993755790113
2021-05-30,25.5,25.332586634417503
2021-05-31,26.2,25.988918744971564
2021-06-01,24.8,24.68754926897953
2021-06-02,24.6,24.36953288717217
2021-06-03,26.2,25.942473289145937
2021-06-04,26.6,26.518944733320183
2021-06-05,25.9,25.890886851738788
2021-06-06,28.2,28.105901246924155
2021-06-07,29.6,29.72187157421952
2021-06-08,28.0,28.2885001652693
2021-06-09,27.5,27.62419800950004
2021-06-10,28.0,28.04158997306811
2021-06-11,27.8,27.881586071848787
2021-06-12,26.2,26.274242935260464
2021-06-13,28.2,28.086826757428188
2021-06-14,24.5,24.61527073147643
2021-06-15,24.2,23.960740763048374
2021-06-16,28.2,27.876821097531213
2021-06-17,29.6,29.68351523220169
2021-06-18,29.5,29.757668274770584
2021-06-19,30.7,30.929893434298116
2021-06-20,30.9,31.22442554116404
2021-06-21,30.4,30.72968045314587
2021-06-22,31.4,31.640534703560924
2021-06-23,34.1,34.38297200528195
2021-06-24,35.7,36.21574825497868
2021-06-25,35.9,36.550608537000265
2021-06-26,39.2,39.792539796872404
2021-06-27,34.5,35.4104043411411
2021-06-28,34.9,35.286254404865275
2021-06-29,34.9,35.23907651479981
2021-06-30,35.5,35.79784183946128
2021-07-01,37.5,37.80691260637591
2021-07-02,36.4,36.891197548493544
2021-07-03,31.5,31.904418263340887
2021-07-04,31.7,31.567342691124946
2021-07-05,32.3,32.139574291702104
2021-07-06,33.5,33.39923576550663
2021-07-07,34.5,34.52427069399149
2021-07-08,33.4,33.545589824380734
2021-07-09,32.4,32.4446186532254
2021-07-10,32.4,32.33050585731958
2021-07-11,32.9,32.820349050570236
2021-07-12,34.4,34.36150195534398
2021-07-13,35.9,36.00408206984039
2021-07-14,35.5,35.7629726950044
2021-07-15,37.0,37.20019421497041
2021-07-16,35.9,36.236898887619674
2021-07-17,33.8,34.031248454998824
2021-07-18,32.2,32.20587105078685
2021-07-19,31.9,31.725804915794836
2021-07-20,32.5,32.28747585987409
2021-07-21,34.7,34.54077012689336
2021-07-22,31.4,31.513430242174877
2021-07-23,31.2,31.00248753190729
2021-07-24,30.2,29.979169383008873
2021-07-25,31.0,30.688712323648236
2021-07-26,33.1,32.866682508583835
2021-07-27,35.6,35.58047810130485
2021-07-28,36.8,37.0416146314595
2021-07-29,38.9,39.24498296764362
2021-07-30,39.5,40.028271334174114
2021-07-31,40.0,40.55405575075149
2021-08-01,38.0,38.576769174841594
2021-08-02,39.7,40.01013129151486
2021-08-03,42.1,42.50155568694585
2021-08-04,39.1,39.744558114663825
2021-08-05,39.6,39.905848127115874
2021-08-06,37.5,37.81545079692065
2021-08-07,33.5,33.61802049217827
2021-08-08,32.8,32.494655617407986
2021-08-09,35.2,34.785800124364236
2021-08-10,36.0,35.84419256386708
2021-08-11,36.1,36.063054477069336
2021-08-12,34.1,34.10826576545332
2021-08-13,34.2,34.01104297540092
2021-08-14,31.1,30.949326828609593
2021-08-15,31.4,30.953715799355592
2021-08-16,33.3,32.87532027448819
2021-08-17,33.3,33.105701897297514
2021-08-18,34.0,33.83922688882168
2021-08-19,32.4,32.34304896798014
2021-08-20,31.9,31.70355676877777
2021-08-21,32.2,31.95428743966754
2021-08-22,31.2,31.01147463718643
2021-08-23,31.2,30.934160639591543
2021-08-24,32.4,32.13835478226881
2021-08-25,32.4,32.28232226613235
2021-08-26,34.1,33.990310010566795
2021-08-27,34.3,34.36898088405922
2021-08-28,32.9,33.01463969184313
2021-08-29,34.5,34.45288800035565
2021-08-30,32.8,32.91795291117489
2021-08-31,31.7,31.664843640251075
2021-09-01,31.9,31.740696785536095
2021-09-02,28.9,28.792619389366344
2021-09-03,28.9,28.5074759047064
2021-09-04,28.9,28.51428872481683
2021-09-05,28.8,28.450684021594363
2021-09-06,27.1,26.792761989328618
2021-09-07,25.4,24.97162120706247
2021-09-08,23.3,22.749061220200236
2021-09-09,23.4,22.67538971169599
2021-09-10,27.2,26.495237486792924
2021-09-11,27.5,27.237650890491256
2021-09-12,27.3,27.137503650716873
2021-09-13,28.6,28.42911359817492
2021-09-14,29.7,29.662654369084983
2021-09-15,30.7,30.779369552958336
2021-09-16,30.7,30.88389781157942
2021-09-17,30.9,31.07579983439938
2021-09-18,37.0,37.11816805158544
2021-09-19,35.0,35.73176974866135
2021-09-20,35.4,35.92327064098942
2021-09-21,31.9,32.43032637253318
2021-09-22,26.8,26.98430257215957
2021-09-23,21.1,20.78011296062785
2021-09-24,24.0,23.05948383301817
2021-09-25,28.4,27.728067375285566
2021-09-26,29.2,29.047399665736606
2021-09-27,30.4,30.381066924865415
2021-09-28,28.5,28.63513762754041
2021-09-29,25.4,25.37938231132927
2021-09-30,23.6,23.273662371688523
2021-10-01,22.0,21.50846076427248
2021-10-02,21.2,20.58417913474635
2021-10-03,22.7,22.032174849666568
2021-10-04,24.0,23.5240786846886
2021-10-05,24.3,24.013101986568827
2021-10-06,23.1,22.89982513796566
2021-10-07,24.2,23.895513190688433
2021-10-08,21.4,21.250485808798746
2021-10-09,23.9,23.47443934781789
2021-10-10,22.6,22.448135160416196
2021-10-11,25.7,25.42817257723857
2021-10-12,20.5,20.602640786969335
2021-10-13,22.5,22.09084993711517
2021-10-14,19.7,19.50449435778939
2021-10-15,22.6,22.13445430765577
2021-10-16,22.1,21.944349414953383
2021-10-17,20.6,20.454347478337347
2021-10-18,20.9,20.615456011625376
2021-10-19,20.4,20.162175823907894
2021-10-20,20.3,20.03925198098444
2021-10-21,21.7,21.436426918403495
2021-10-22,24.7,24.569865989489085
2021-10-23,25.9,26.082921957543626
2021-10-24,22.5,22.851764578170155
2021-10-25,16.7,16.75499002819749
2021-10-26,18.3,17.724363470662453
2021-10-27,19.0,18.56610810254933
2021-10-28,18.4,18.09533283650857
2021-10-29,18.4,18.075675354618728
2021-10-30,18.5,18.201898824514057
2021-10-31,18.3,18.04335027729733
2021-11-01,19.8,19.53559389761889
2021-11-02,21.5,21.391614808865352
2021-11-03,24.1,24.160971567192117
2021-11-04,23.6,23.9374198019775
2021-11-05,24.0,24.280696843278065
2021-11-06,23.1,23.398761831513095
2021-11-07,22.8,22.986679765500416
2021-11-08,21.5,21.641670380004115
2021-11-09,19.9,19.910419107254114
2021-11-10,18.2,18.05335626032624
2021-11-11,16.0,15.702847912204094
2021-11-12,18.1,17.57354076529351
2021-11-13,17.8,17.510991381726033
2021-11-14,17.9,17.629747219013943
2021-11-15,17.9,17.66594555303148
2021-11-16,17.1,16.898630286660406
2021-11-17,15.1,14.860022034223858
2021-11-18,17.8,17.350759225900052
2021-11-19,14.0,13.878264614736668
2021-11-20,15.6,15.12597133829403
2021-11-21,19.0,18.659404590203305
2021-11-22,19.8,19.835401502275936
2021-11-23,19.8,19.949815058278364
2021-11-24,15.0,15.195773058633554
2021-11-25,14.9,14.603749283392052
2021-11-26,17.3,16.94720947036262
2021-11-27,20.1,19.985306636727046
2021-11-28,20.3,20.497438756058045
2021-11-29,21.3,21.52088247994593
2021-11-30,16.5,16.85134742913958
2021-12-01,16.1,15.956772655436385
2021-12-02,17.2,16.96920563907679
2021-12-03,19.2,19.07122042992392
2021-12-04,17.4,17.511012070315477
2021-12-05,17.5,17.444000148026237
2021-12-06,19.1,19.026338942474954
2021-12-07,15.0,15.13220231709708
2021-12-08,15.0,14.730890446020556
2021-12-09,18.7,18.37797911877105
2021-12-10,17.4,17.484669865356707
2021-12-11,17.0,16.991718652133173
2021-12-12,17.7,17.63616885211883
