Date,Actual Temperature,Forecasted Temperature (MAD)
2022-01-01,17.5,17.850523341468758
2022-01-02,17.9,17.926556758130708
2022-01-03,18.0,18.030769991565137
2022-01-04,17.6,17.642422015667723
2022-01-05,18.0,17.995769236667883
2022-01-06,17.8,17.833484727467788
2022-01-07,17.9,17.913242651075677
2022-01-08,14.8,14.851026604839657
2022-01-09,13.3,13.055212605780486
2022-01-10,13.5,13.095662071354326
2022-01-11,12.9,12.542097431489822
2022-01-12,8.7,8.360952198669285
2022-01-13,5.0,4.310351977506996
2022-01-14,10.0,8.917360277415137
2022-01-15,13.9,13.33649868243859
2022-01-16,9.9,9.86912764152146
2022-01-17,13.9,13.485169049692818
2022-01-18,11.8,11.8051079760376
2022-01-19,8.4,8.270642150828696
2022-01-20,14.0,13.47283777473322
2022-01-21,15.5,15.525501937397685
2022-01-22,10.8,11.075473179298339
2022-01-23,5.4,5.259677717351553
2022-01-24,2.0,1.3247271765952346
2022-01-25,3.3,2.2790066766260315
2022-01-26,5.4,4.54532402573277
2022-01-27,10.7,10.095876598327491
2022-01-28,13.2,13.180302961737489
2022-01-29,8.8,9.134518331522116
2022-01-30,11.5,11.372833218663587
2022-01-31,13.7,13.786109717698011
2022-02-01,16.5,16.791687493008634
2022-02-02,13.1,13.699993396168919
2022-02-03,9.2,9.475824580829743
2022-02-04,11.4,11.20658348702115
2022-02-05,14.9,14.862066863808387
2022-02-06,15.6,15.924029183744354
2022-02-07,17.9,18.278062789200963
2022-02-08,13.5,14.123440498718537
2022-02-09,12.4,12.562868624785624
2022-02-10,14.4,14.372153261161628
2022-02-11,16.4,16.53558793129468
2022-02-12,16.0,16.343728484491464
2022-02-13,11.9,12.234606976206912
2022-02-14,12.5,12.387580197519835
2022-02-15,14.8,14.689995301874342
2022-02-16,16.8,16.910137235141104
2022-02-17,14.0,14.350239077305078
2022-02-18,18.4,18.418727744564016
2022-02-19,17.5,17.93289111427915
2022-02-20,15.7,16.063347250965542
2022-02-21,19.6,19.70469161204728
2022-02-22,18.6,19.069403803071204
2022-02-23,15.0,15.399628679897184
2022-02-24,11.4,11.432684586389035
2022-02-25,14.2,13.805048564263206
2022-02-26,15.0,14.869830591266936
2022-02-27,15.5,15.483024040753286
2022-02-28,11.0,11.090871222034123
2022-03-01,10.4,10.049477530179137
2022-03-02,8.5,8.095885183277517
2022-03-03,12.4,11.797896282092378
2022-03-04,15.0,14.79628672658555
2022-03-05,14.5,14.619459965642168
2022-03-06,17.3,17.363025892640035
2022-03-07,15.0,15.354710155002218
2022-03-08,13.1,13.240954667288234
2022-03-09,8.2,8.165893198460896
2022-03-10,5.4,4.8894566637166825
2022-03-11,5.3,4.508761910507759
2022-03-12,4.2,3.4529038632411693
2022-03-13,8.8,7.9685567108228055
2022-03-14,9.4,9.088951891606916
2022-03-15,12.9,12.693985739440706
2022-03-16,15.0,15.152030407674419
2022-03-17,16.9,17.265152137807092
2022-03-18,10.4,11.008600618417724
2022-03-19,7.5,7.45717141082119
2022-03-20,6.9,6.511883063087631
2022-03-21,7.3,6.8482847526363875
2022-03-22,13.4,12.961579293853987
2022-03-23,9.6,9.850366611528889
2022-03-24,17.5,17.33771234825878
2022-03-25,22.0,22.55605281058848
2022-03-26,17.4,18.47384210386848
2022-03-27,18.9,19.45397524384832
2022-03-28,17.6,18.21513078589996
2022-03-29,18.7,19.12488456937412
2022-03-30,18.5,18.97962033647787
2022-03-31,17.5,17.931928082905234
2022-04-01,22.4,22.6392853300865
2022-04-02,21.4,22.09848537509684
2022-04-03,19.0,19.60554169583916
2022-04-04,18.9,19.202748575287867
2022-04-05,18.4,18.64022189145683
2022-04-06,19.0,19.156349252842613
2022-04-07,22.5,22.65889055622536
2022-04-08,24.5,24.974844536503348
2022-04-09,23.0,23.678703926245845
2022-04-10,22.0,22.49800651185797
2022-04-11,16.9,17.28611618435196
2022-04-12,17.6,17.42317669500969
2022-04-13,18.4,18.244796843524586
2022-04-14,19.4,19.330927142458865
2022-04-15,21.0,21.029756729530998
2022-04-16,22.1,22.28596158258042
2022-04-17,16.3,16.652845525453127
2022-04-18,13.2,12.988777822449611
2022-04-19,15.3,14.720381048128798
2022-04-20,18.3,17.915707076365123
2022-04-21,20.7,20.645826042315893
2022-04-22,22.5,22.70571359510254
2022-04-23,24.0,24.37818812682198
2022-04-24,25.0,25.50139864857994
2022-04-25,27.0,27.548593822383545
2022-04-26,25.7,26.416939895749383
2022-04-27,25.6,26.140249912468526
2022-04-28,27.8,28.241958422018268
2022-04-29,21.6,22.274353014991604
2022-04-30,22.4,22.40890070293969
2022-05-01,21.6,21.62955440846993
2022-05-02,16.8,16.79695988226066
2022-05-03,19.0,18.491974040236272
2022-05-04,19.4,19.10319779241257
2022-05-05,23.5,23.250032366313068
2022-05-06,21.5,21.707212910734942
2022-05-07,21.4,21.43528180321098
2022-05-08,21.2,21.2069133301696
2022-05-09,23.9,23.856454283150196
2022-05-10,23.4,23.63032749296474
2022-05-11,25.4,25.566985339579364
2022-05-12,26.5,26.834622443678686
2022-05-13,26.0,26.43627013415754
2022-05-14,25.1,25.466170591131245
2022-05-15,28.0,28.207205283626802
2022-05-16,28.6,29.056660277349945
2022-05-17,28.6,29.100506351760767
2022-05-18,29.5,29.950845387543378
2022-05-19,19.9,20.491303206242733
2022-05-20,22.9,22.462131699550824
2022-05-21,27.5,27.25262269592206
2022-05-22,29.0,29.2389357529262
2022-05-23,30.0,30.406062840863253
2022-05-24,30.0,30.486229893979264
2022-05-25,30.0,30.450485908832736
2022-05-26,32.5,32.881367778523135
2022-05-27,31.1,31.704132865425095
2022-05-28,32.4,32.81903741622703
2022-05-29,30.1,30.615814503846796
2022-05-30,29.5,29.755068907262558
2022-05-31,31.2,31.3290381459505
2022-06-01,31.4,31.67282163668375
2022-06-02,32.4,32.67264603845553
2022-06-03,32.0,32.35209033517172
2022-06-04,32.1,32.38734663467788
2022-06-05,33.9,34.147011067507485
2022-06-06,33.5,33.90474651471477
2022-06-07,28.4,28.79509287311117
2022-06-08,28.2,28.050569150370805
2022-06-09,29.6,29.3755655545634
2022-06-10,28.0,27.944264295071953
2022-06-11,25.9,25.72715038256633
2022-06-12,28.3,27.896995456884802
2022-06-13,29.6,29.437250373197013
2022-06-14,31.4,31.387923331240504
2022-06-15,30.8,30.990077527233208
2022-06-16,30.8,30.933185969381494
2022-06-17,30.4,30.51951007635198
2022-06-18,29.9,29.972386580177353
2022-06-19,27.9,27.93115943834393
2022-06-20,29.4,29.209232374709636
2022-06-21,34.4,34.304208754622344
2022-06-22,35.5,35.9113276046976
2022-06-23,36.6,37.12402000528235
2022-06-24,31.3,31.951127444865403
2022-06-25,31.8,31.870236718785822
2022-06-26,31.9,31.95482634148714
2022-06-27,31.9,31.958350933023432
2022-06-28,32.9,32.94345180820495
2022-06-29,32.4,32.54305123298466
2022-06-30,33.5,33.579136564494014
2022-07-01,33.9,34.07162280684048
2022-07-02,34.0,34.20442537845949
2022-07-03,31.4,31.62530735156003
2022-07-04,31.9,31.842117887229687
2022-07-05,32.5,32.46300833094598
2022-07-06,32.4,32.42942662553247
2022-07-07,32.9,32.918420058693194
2022-07-08,31.9,31.975661596726884
2022-07-09,28.0,28.013576206824826
2022-07-10,29.4,29.00214580922039
2022-07-11,29.8,29.532809646630113
2022-07-12,30.7,30.500923162174374
2022-07-13,28.4,28.338651429133105
2022-07-14,29.9,29.612945627207
2022-07-15,32.2,32.04320994056576
2022-07-16,35.8,35.86434747725071
2022-07-17,34.9,35.34966995796665
2022-07-18,31.4,31.792731909821242
2022-07-19,28.4,28.43169223312279
2022-07-20,29.4,29.082735964471894
2022-07-21,33.4,33.13639410080434
