datetime,tempmax,Forecast
2021-01-01,17.4,21.400715316602994
2021-01-02,16.4,17.258471305084246
2021-01-03,18.4,18.739311969242358
2021-01-04,17.5,17.98585214726851
2021-01-05,16.0,16.687299065256024
2021-01-06,16.8,17.424000196660693
2021-01-07,16.9,17.446451806293606
2021-01-08,18.7,18.685089918600653
2021-01-09,21.5,20.821413239768987
2021-01-10,21.2,20.560052813475934
2021-01-11,22.5,21.83255856333834
2021-01-12,19.5,19.499366912707863
2021-01-13,15.4,15.986079672203019
2021-01-14,12.7,13.492571603149578
2021-01-15,11.0,11.85603234102308
2021-01-16,7.3,8.486665421328485
2021-01-17,4.6,5.9036384434053275
2021-01-18,5.0,6.118061611130989
2021-01-19,9.0,9.43437672557001
2021-01-20,12.5,12.160344131948301
2021-01-21,15.4,14.186335950707393
2021-01-22,15.5,14.335372164294824
2021-01-23,15.0,14.124069033778412
2021-01-24,15.5,14.63593383842888
2021-01-25,17.9,16.516178731830713
2021-01-26,16.7,15.654503524516537
2021-01-27,10.6,10.906336890363287
2021-01-28,9.0,9.486708946704573
2021-01-29,14.8,14.205616158838616
2021-01-30,18.8,17.20380710929688
2021-01-31,17.5,16.426971179137453
2021-02-01,16.5,15.766035337323109
2021-02-02,18.3,17.095435479603275
2021-02-03,18.2,17.189259426920792
2021-02-04,19.5,18.313107230652058
2021-02-05,19.7,18.79131053477734
2021-02-06,20.3,19.41214047497262
2021-02-07,19.5,18.76128355107352
2021-02-08,19.1,18.521358990475317
2021-02-09,19.5,18.884805394816826
2021-02-10,18.4,18.311836133482778
2021-02-11,19.0,18.862549647220686
2021-02-12,17.9,17.918315411107375
2021-02-13,10.4,11.492143983193621
2021-02-14,8.1,9.310105001264699
2021-02-15,3.0,4.495161410915018
2021-02-16,2.4,3.8060629011313005
2021-02-17,7.4,8.27716649788253
2021-02-18,13.0,12.794734465067737
2021-02-19,15.0,14.348394408779962
2021-02-20,15.0,14.275817739914206
2021-02-21,12.0,11.995731380593346
2021-02-22,15.3,14.684797935188826
2021-02-23,18.4,17.21731473085231
2021-02-24,20.0,18.616937751976796
2021-02-25,16.5,16.026199414727657
2021-02-26,17.9,17.195523585445383
2021-02-27,19.0,18.118447460431778
2021-02-28,14.8,15.05719448993576
2021-03-01,14.8,15.04030113812111
2021-03-02,12.2,12.883038714768556
2021-03-03,16.0,15.981421951044387
2021-03-04,17.7,17.25166115603977
